room_type,bedrooms,bathrooms,price,host_is_superhost,host_listings_count,availability_30,review_scores_rating,review_scores_location,calculated_host_listings_count_private_rooms
Entire home/apt,0.0,1.0,212.0,t,3,13,4.98,4.99,0
Entire home/apt,2.0,2.0,164.0,f,3,0,4.72,4.9,0
Entire home/apt,1.0,1.0,133.0,t,1,3,4.93,4.87,0
Entire home/apt,1.0,1.0,125.0,t,2,0,4.93,4.96,0
Entire home/apt,2.0,1.0,299.0,f,1,0,4.94,5.0,0
Entire home/apt,1.0,1.5,228.0,t,3,12,4.97,4.95,0
Entire home/apt,1.0,1.0,225.0,t,1,3,4.97,4.99,0
Entire home/apt,2.0,1.0,139.0,t,1,8,4.82,4.79,0
Private room,1.0,1.0,73.0,t,12,0,4.7,4.87,12
Private room,1.0,1.0,72.0,t,12,1,4.69,4.81,12
Private room,1.0,1.0,71.0,t,12,0,4.9,4.88,12
Entire home/apt,0.0,1.0,140.0,t,1,5,4.97,4.86,0
Entire home/apt,0.0,1.0,196.0,t,1,0,4.91,4.84,0
Entire home/apt,2.0,1.0,450.0,t,1,14,4.96,4.9,0
Private room,1.0,1.0,90.0,t,2,0,4.62,4.37,2
Private room,1.0,2.0,64.0,f,4,0,4.55,4.55,4
Private room,1.0,0.0,80.0,f,7,22,4.55,4.58,7
Private room,1.0,0.5,75.0,f,7,23,4.52,4.58,7
Entire home/apt,1.0,1.0,130.0,f,1,0,5.0,5.0,0
Entire home/apt,2.0,1.0,48.0,f,3,18,4.96,4.94,1
Private room,1.0,1.0,55.0,t,1,0,4.75,4.5,1
Private room,1.0,1.0,84.0,f,45,0,4.36,5.0,33
Private room,1.0,1.0,88.0,f,45,0,5.0,5.0,33
Private room,1.0,1.0,88.0,f,45,1,5.0,4.67,33
Entire home/apt,0.0,1.0,111.0,t,1,1,4.93,4.82,0
Private room,1.0,1.0,88.0,f,45,0,4.75,5.0,33
Private room,1.0,1.0,88.0,f,45,0,4.86,5.0,33
Private room,1.0,1.5,58.0,t,7,4,4.88,4.95,4
Entire home/apt,1.0,1.0,131.0,t,1,1,4.93,4.94,0
Private room,1.0,0.0,95.0,f,7,14,4.53,4.61,7
Private room,1.0,1.5,50.0,f,1,0,5.0,4.77,1
Private room,1.0,1.0,72.0,t,1,19,4.95,4.85,1
Entire home/apt,0.0,1.0,90.0,t,1,0,4.88,5.0,0
Entire home/apt,1.0,1.0,129.0,t,1,30,4.73,4.92,0
Entire home/apt,2.0,1.0,228.0,f,2,10,4.82,4.78,0
Private room,1.0,1.0,100.0,t,1,10,4.93,4.95,1
Entire home/apt,2.0,1.0,248.0,f,2,3,4.95,4.83,0
Entire home/apt,1.0,1.0,177.0,t,1,22,4.95,4.9,0
Entire home/apt,1.0,1.0,188.0,t,1,8,4.95,4.98,0
Entire home/apt,4.0,1.5,404.0,f,2,28,4.52,4.81,0
Entire home/apt,1.0,1.0,101.0,f,1,24,4.7,4.08,0
Entire home/apt,3.0,1.0,207.0,t,2,0,5.0,4.77,0
Private room,1.0,1.0,66.0,f,45,0,5.0,5.0,33
Entire home/apt,1.0,1.0,200.0,t,1,16,4.96,4.91,0
Entire home/apt,3.0,1.5,338.0,f,1,10,4.96,4.91,0
Private room,1.0,1.5,65.0,f,1,0,5.0,5.0,1
Entire home/apt,1.0,1.0,233.0,t,3,1,4.89,4.92,0
Entire home/apt,1.0,1.0,150.0,t,1,0,4.85,4.89,0
Private room,1.0,1.0,93.0,f,12,21,4.71,4.77,8
Private room,1.0,1.0,74.0,t,12,16,4.86,4.71,12
Entire home/apt,1.0,1.0,314.0,f,1,24,4.98,4.94,0
Entire home/apt,1.0,1.0,510.0,f,1,0,4.89,4.99,0
Entire home/apt,3.0,2.5,193.0,f,1,0,4.5,5.0,0
Entire home/apt,6.0,2.0,998.0,f,1,8,4.9,5.0,0
Private room,1.0,2.0,48.0,f,7,0,4.58,4.08,6
Entire home/apt,3.0,2.0,495.0,t,4,3,4.89,5.0,1
Private room,1.0,2.0,45.0,f,7,24,4.52,4.44,6
Entire home/apt,1.0,1.0,103.0,f,1,0,5.0,5.0,0
Entire home/apt,1.0,1.0,163.0,t,2,8,4.95,4.95,0
Entire home/apt,1.0,1.0,252.0,t,1,16,4.94,4.85,0
Entire home/apt,1.0,1.0,80.0,f,1,0,3.67,4.33,0
Entire home/apt,2.0,1.0,110.0,f,2,0,4.91,4.74,0
Entire home/apt,1.0,1.0,265.0,t,3,20,4.95,4.97,0
Entire home/apt,2.0,1.0,136.0,f,3,0,4.62,4.69,0
Entire home/apt,1.0,1.0,190.0,t,1,28,4.92,4.81,0
Entire home/apt,1.0,1.0,140.0,f,1,9,4.9,4.91,0
Private room,1.0,1.0,200.0,f,38,0,4.75,5.0,21
Private room,1.0,1.0,60.0,f,38,0,4.62,4.75,21
Entire home/apt,2.0,2.0,420.0,t,2,7,5.0,4.93,0
Entire home/apt,3.0,2.5,450.0,t,2,5,4.93,5.0,0
Entire home/apt,1.0,1.0,105.0,t,7,0,5.0,4.86,0
Entire home/apt,1.0,1.0,109.0,t,1,0,4.96,4.23,0
Entire home/apt,2.0,1.0,270.0,t,1,2,4.96,4.86,0
Private room,1.0,2.0,95.0,t,2,22,4.87,4.83,2
Entire home/apt,1.0,1.0,140.0,f,23,0,5.0,5.0,0
Entire home/apt,1.0,1.0,212.0,t,2,26,4.93,4.82,0
Private room,1.0,1.0,120.0,t,3,9,4.87,4.98,2
Entire home/apt,3.0,2.5,809.0,t,3,0,4.9,5.0,0
Entire home/apt,1.0,1.0,246.0,t,1,9,4.99,4.97,0
Entire home/apt,1.0,1.0,74.0,t,2,0,4.82,4.93,0
Private room,1.0,3.0,65.0,t,20,0,5.0,5.0,20
Private room,3.0,3.0,237.0,t,1,1,4.9,4.45,1
Private room,1.0,1.0,90.0,f,38,17,5.0,4.67,21
Private room,1.0,1.0,62.0,f,7,22,4.62,4.65,7
Entire home/apt,1.0,1.0,78.0,f,20,4,4.22,4.22,0
Entire home/apt,3.0,1.5,145.0,t,5,0,4.5,4.83,0
Private room,1.0,1.0,82.0,t,5,5,4.97,4.89,5
Entire home/apt,2.0,1.0,288.0,f,1,4,4.8,4.67,0
Entire home/apt,2.0,1.0,221.0,f,1,29,4.7,4.9,0
Entire home/apt,5.0,3.5,450.0,f,2,0,4.86,4.93,0
Private room,2.0,1.0,62.0,t,6,9,4.84,4.6,4
Private room,1.0,1.0,59.0,t,6,0,4.83,4.68,4
Entire home/apt,2.0,1.0,241.0,t,3,19,4.96,4.74,0
Private room,1.0,1.0,91.0,f,12,0,4.72,4.79,8
Private room,1.0,2.0,86.0,t,2,6,4.99,4.88,2
Entire home/apt,1.0,1.0,285.0,t,1,16,4.92,4.98,0
Private room,1.0,2.0,72.0,t,2,12,4.97,4.9,2
Private room,1.0,1.0,85.0,t,7,0,4.84,4.72,5
Entire home/apt,2.0,2.0,200.0,f,12,0,4.65,4.81,8
Entire home/apt,1.0,1.0,300.0,f,1,24,4.97,4.93,0
Private room,1.0,2.0,121.0,t,2,1,4.91,4.85,2
Private room,2.0,1.0,242.0,t,3,0,5.0,5.0,3
Entire home/apt,3.0,2.0,713.0,f,2,5,4.92,4.92,1
Entire home/apt,1.0,1.0,475.0,t,3,14,4.94,4.85,0
Entire home/apt,3.0,2.5,399.0,t,25,3,4.98,4.95,0
Private room,0.0,0.0,57.0,f,12,0,3.67,5.0,8
Private room,1.0,1.0,58.0,f,38,1,5.0,4.89,21
Private room,1.0,1.0,88.0,f,45,0,5.0,5.0,33
Private room,1.0,1.0,105.0,t,7,23,4.83,4.81,5
Entire home/apt,2.0,1.5,264.0,t,2,0,4.86,4.86,0
Entire home/apt,0.0,1.0,110.0,t,7,0,5.0,4.9,0
Private room,1.0,1.0,99.0,f,1,30,4.82,4.36,1
Entire home/apt,3.0,1.0,130.0,f,6,0,4.88,4.88,0
Entire home/apt,1.0,1.0,450.0,t,1,0,4.98,4.98,0
Entire home/apt,1.0,1.0,68.0,t,1,2,4.5,4.5,0
Entire home/apt,1.0,1.0,98.0,t,5,10,4.0,4.33,0
Entire home/apt,0.0,1.0,78.0,f,43,0,4.67,4.56,0
Entire home/apt,3.0,2.0,240.0,f,2,0,4.83,4.25,0
Entire home/apt,0.0,1.0,77.0,f,43,0,4.0,3.63,0
Entire home/apt,1.0,1.0,347.0,t,1,7,4.94,4.89,0
Entire home/apt,2.0,2.0,435.0,f,1,29,4.78,4.59,0
Private room,1.0,1.0,212.0,t,2,30,4.96,4.99,1
Entire home/apt,1.0,1.0,250.0,t,1,14,5.0,5.0,0
Private room,1.0,2.0,83.0,t,5,19,4.71,4.8,5
Private room,1.0,2.0,69.0,t,5,19,4.69,4.79,5
Entire home/apt,1.0,1.0,150.0,t,1,0,4.89,4.96,0
Private room,1.0,1.0,41.0,f,2,0,4.72,4.79,2
Entire home/apt,2.0,2.5,295.0,t,3,0,5.0,4.95,0
Entire home/apt,1.0,1.0,298.0,t,1,1,4.94,4.85,0
Private room,1.0,1.0,90.0,t,7,23,4.85,4.73,5
Entire home/apt,1.0,1.0,101.0,t,1,6,4.93,4.9,0
Entire home/apt,1.0,1.0,165.0,t,1,5,4.99,4.96,0
Private room,0.0,0.0,105.0,f,7,27,4.59,4.48,7
Entire home/apt,2.0,1.0,624.0,t,1,14,4.99,4.93,0
Private room,1.0,1.0,86.0,f,4,0,5.0,5.0,3
Entire home/apt,1.0,1.0,149.0,t,1,0,5.0,4.86,0
Entire home/apt,1.0,1.0,184.0,t,1,10,4.89,4.87,0
Entire home/apt,0.0,1.0,107.0,f,1,1,4.74,4.86,0
Entire home/apt,1.0,1.0,185.0,t,1,20,4.91,4.91,0
Entire home/apt,3.0,2.0,197.0,t,2,3,4.86,4.53,0
Entire home/apt,0.0,1.0,463.0,f,77,30,4.95,4.9,0
Entire home/apt,1.0,1.0,180.0,t,1,12,4.94,4.93,0
Entire home/apt,2.0,1.0,259.0,t,1,18,4.91,4.95,0
Entire home/apt,2.0,1.0,175.0,t,2,18,4.83,4.88,0
Private room,1.0,1.0,94.0,t,7,24,4.81,4.75,5
Entire home/apt,2.0,1.0,196.0,t,2,9,4.78,4.9,0
Private room,1.0,0.0,155.0,t,5,6,5.0,5.0,1
Entire home/apt,3.0,2.0,250.0,f,1,0,4.74,4.79,0
Entire home/apt,1.0,1.0,235.0,f,1,0,5.0,4.0,0
Private room,1.0,1.5,170.0,t,1,25,4.98,4.84,1
Entire home/apt,2.0,1.0,99.0,t,2,0,4.89,4.79,0
Entire home/apt,1.0,1.0,151.0,t,1,0,4.84,4.9,0
Entire home/apt,2.0,1.0,386.0,t,2,9,4.84,4.86,0
Entire home/apt,0.0,1.0,362.0,f,77,30,4.75,5.0,0
Entire home/apt,0.0,1.0,292.0,f,77,30,4.73,4.82,0
Entire home/apt,2.0,1.5,303.0,f,615,0,4.87,4.91,0
Entire home/apt,1.0,1.0,300.0,t,2,0,4.91,5.0,0
Entire home/apt,2.0,1.0,192.0,f,1,8,4.85,4.92,0
Entire home/apt,3.0,2.0,504.0,t,4,3,4.82,4.55,0
Entire home/apt,0.0,1.0,362.0,f,77,30,4.8,4.8,0
Private room,1.0,2.0,73.0,t,5,16,4.74,4.8,5
Entire home/apt,0.0,1.0,210.0,t,1,2,4.96,4.97,0
Private room,0.0,1.0,49.0,f,11,0,4.67,4.81,6
Entire home/apt,4.0,2.0,270.0,t,2,11,5.0,4.5,0
Entire home/apt,2.0,2.0,349.0,f,1,16,4.81,4.94,0
Entire home/apt,1.0,1.0,193.0,f,1,30,4.75,4.85,0
Entire home/apt,2.0,1.0,395.0,t,2,0,4.94,4.96,1
Entire home/apt,1.0,1.0,199.0,t,4,4,4.9,4.64,0
Entire home/apt,1.0,1.0,118.0,f,23,0,4.17,4.67,0
Entire home/apt,3.0,2.0,887.0,f,7,21,4.93,4.79,0
Entire home/apt,2.0,1.0,201.0,t,2,0,4.84,4.86,0
Private room,1.0,1.0,48.0,f,16,30,4.15,4.31,6
Entire home/apt,2.0,1.0,200.0,f,2,0,4.8,4.9,0
Entire home/apt,1.0,1.0,85.0,t,1,0,4.82,4.83,0
Private room,1.0,1.0,135.0,t,4,8,4.95,4.94,4
Entire home/apt,1.0,1.0,216.0,t,1,19,4.95,4.98,0
Entire home/apt,2.0,1.0,450.0,t,2,0,4.95,4.95,1
Entire home/apt,1.0,1.0,187.0,t,2,11,4.95,4.71,0
Private room,1.0,1.0,68.0,f,1,9,4.84,4.74,1
Private room,1.0,1.0,55.0,f,16,30,4.43,4.57,6
Private room,1.0,1.0,154.0,t,2,16,4.92,4.84,2
Entire home/apt,0.0,1.0,78.0,f,43,0,3.5,2.5,0
Entire home/apt,1.0,1.0,94.0,t,1,4,4.97,4.9,0
Private room,1.0,1.0,40.0,t,2,0,5.0,4.75,2
Entire home/apt,2.0,1.0,300.0,f,1,13,5.0,5.0,0
Entire home/apt,1.0,1.0,145.0,t,1,7,4.93,4.93,0
Entire home/apt,2.0,1.0,213.0,t,1,3,4.92,4.97,0
Entire home/apt,1.0,1.0,152.0,t,1,15,4.95,4.91,0
Entire home/apt,2.0,1.5,250.0,f,2,6,5.0,5.0,0
Entire home/apt,1.0,1.0,190.0,t,1,15,4.93,4.93,0
Entire home/apt,1.0,1.0,225.0,t,1,0,5.0,4.95,0
Entire home/apt,1.0,1.0,66.0,f,3,10,4.82,4.83,0
Entire home/apt,2.0,1.0,218.0,f,1,30,5.0,4.85,0
Entire home/apt,1.0,1.0,162.0,t,1,11,4.91,4.76,0
Entire home/apt,2.0,2.0,193.0,f,1,0,4.81,4.88,0
Entire home/apt,0.0,1.0,77.0,f,43,3,3.5,2.5,0
Entire home/apt,3.0,2.0,170.0,t,5,0,4.95,5.0,0
Entire home/apt,1.0,1.0,126.0,f,23,0,3.5,4.75,0
Entire home/apt,3.0,2.0,442.0,t,1,13,4.93,4.87,0
Private room,1.0,1.0,93.0,t,3,0,4.92,4.97,2
Private room,1.0,1.0,87.0,t,3,15,4.9,4.95,2
Entire home/apt,3.0,2.0,420.0,t,3,0,5.0,4.75,0
Private room,1.0,1.0,137.0,t,2,9,4.83,4.92,2
Private room,1.0,3.0,60.0,t,20,0,5.0,5.0,20
Entire home/apt,1.0,1.0,113.0,t,1,15,4.88,4.89,0
Entire home/apt,1.0,1.0,122.0,t,5,0,4.8,4.8,0
Entire home/apt,2.0,1.0,220.0,t,4,3,4.81,4.34,0
Entire home/apt,1.0,1.0,126.0,f,1,29,4.84,4.88,0
Entire home/apt,0.0,1.0,59.0,f,11,0,4.48,4.76,6
Entire home/apt,3.0,1.5,239.0,f,2,0,4.85,4.67,0
Entire home/apt,1.0,1.0,138.0,t,5,0,4.71,4.71,0
Private room,1.0,2.0,65.0,f,4,7,4.36,4.64,4
Private room,2.0,2.0,60.0,f,4,15,4.43,4.76,4
Entire home/apt,1.0,1.0,264.0,t,1,1,4.97,4.89,0
Private room,1.0,1.0,74.0,t,12,0,4.5,4.75,12
Private room,1.0,1.0,71.0,t,12,20,4.94,4.65,12
Private room,1.0,1.0,74.0,t,12,0,4.62,4.64,12
Entire home/apt,3.0,2.0,695.0,t,2,30,5.0,5.0,0
Entire home/apt,2.0,1.0,104.0,t,1,0,5.0,4.82,0
Entire home/apt,1.0,1.0,123.0,f,23,0,4.38,4.75,0
Private room,1.0,1.0,81.0,t,2,0,4.9,4.95,2
Entire home/apt,2.0,4.0,500.0,f,1,24,5.0,5.0,0
Entire home/apt,2.0,1.0,169.0,t,1,20,4.9,4.69,0
Entire home/apt,0.0,1.0,104.0,f,43,0,4.86,4.86,0
Private room,1.0,2.0,67.0,t,7,0,4.63,5.0,7
Entire home/apt,1.0,1.0,100.0,f,43,0,3.5,5.0,0
Entire home/apt,0.0,1.0,95.0,f,24,0,4.0,5.0,0
Entire home/apt,0.0,1.0,95.0,f,24,0,5.0,5.0,0
Entire home/apt,0.0,1.0,73.0,f,43,0,4.14,3.86,0
Entire home/apt,1.0,1.0,81.0,f,11,14,4.76,5.0,6
Private room,1.0,2.0,62.0,t,7,0,5.0,5.0,7
Entire home/apt,0.0,1.0,171.0,t,4,27,4.75,4.75,3
Entire home/apt,2.0,1.0,205.0,f,2,2,4.86,5.0,0
Private room,1.0,1.0,57.0,t,6,9,4.86,4.71,4
Entire home/apt,3.0,2.0,252.0,f,2,0,4.94,5.0,0
Entire home/apt,0.0,1.0,150.0,t,2,11,4.88,4.84,0
Entire home/apt,2.0,1.0,154.0,t,1,13,4.88,4.85,0
Entire home/apt,1.0,1.0,215.0,t,2,6,4.92,4.9,0
Entire home/apt,2.0,1.0,160.0,f,20,16,2.0,5.0,0
Entire home/apt,0.0,1.0,90.0,f,20,3,5.0,4.5,0
Entire home/apt,2.0,1.0,363.0,t,6,9,4.99,4.96,0
Private room,1.0,1.0,250.0,t,4,9,4.96,4.95,3
Entire home/apt,0.0,1.0,70.0,f,2,0,4.0,4.8,0
Entire home/apt,3.0,1.0,421.0,t,5,16,4.92,4.95,0
Entire home/apt,1.0,1.0,167.0,f,30,0,5.0,4.77,0
Entire home/apt,1.0,1.0,158.0,f,4,0,4.67,4.72,0
Entire home/apt,1.0,1.0,127.0,f,1,0,4.44,4.89,0
Private room,1.0,2.0,77.0,t,7,11,4.75,4.88,7
Entire home/apt,0.0,1.0,83.0,f,43,0,5.0,4.0,0
Private room,1.0,1.0,82.0,t,4,15,4.9,4.78,2
Entire home/apt,2.0,2.0,315.0,t,1,5,4.92,4.92,0
Private room,1.0,1.0,111.0,t,2,0,4.97,5.0,1
Entire home/apt,3.0,1.5,413.0,t,5,0,5.0,5.0,0
Entire home/apt,2.0,1.0,89.0,f,11,0,4.92,4.85,6
Private room,1.0,1.0,114.0,t,2,23,4.92,4.95,1
Private room,1.0,1.0,49.0,t,6,3,4.9,4.74,4
Entire home/apt,2.0,1.0,360.0,t,1,12,4.88,4.81,0
Private room,1.0,2.0,70.0,t,7,13,4.4,5.0,7
Private room,1.0,1.0,48.0,f,7,9,5.0,5.0,4
Private room,1.0,1.0,100.0,t,1,2,4.99,4.97,1
Private room,0.0,1.0,74.0,f,3,0,5.0,5.0,3
Private room,1.0,1.0,250.0,t,4,9,4.91,4.97,3
Entire home/apt,1.0,1.0,149.0,f,1,0,5.0,5.0,0
Entire home/apt,0.0,1.0,77.0,f,43,0,5.0,4.0,0
Entire home/apt,1.0,1.0,105.0,f,20,0,3.67,4.67,0
Entire home/apt,0.0,1.0,160.0,f,30,0,4.88,4.75,0
Entire home/apt,2.0,1.0,125.0,f,20,1,4.2,4.6,0
Entire home/apt,0.0,1.0,73.0,f,43,0,4.57,4.0,0
Entire home/apt,0.0,1.0,96.0,t,6,7,4.81,5.0,0
Entire home/apt,0.0,1.0,77.0,f,43,0,5.0,4.67,0
Private room,1.0,1.0,80.0,f,7,24,4.0,3.5,4
Entire home/apt,3.0,1.0,421.0,f,1,17,4.8,4.7,0
Entire home/apt,1.0,1.0,138.0,t,1,16,4.92,4.86,0
Private room,1.0,2.0,64.0,t,7,6,4.33,5.0,7
Private room,1.0,2.0,64.0,t,7,14,4.81,4.88,7
Entire home/apt,3.0,2.0,522.0,t,6,9,4.98,4.94,0
Entire home/apt,0.0,1.0,78.0,f,43,0,4.0,2.0,0
Entire home/apt,0.0,1.0,95.0,f,20,0,3.25,4.75,0
Entire home/apt,1.0,1.0,145.0,t,1,0,5.0,5.0,0
Entire home/apt,1.0,1.0,100.0,f,43,0,4.0,5.0,0
Entire home/apt,0.0,1.0,100.0,t,2,2,5.0,5.0,0
Entire home/apt,3.0,2.5,417.0,f,1,9,5.0,5.0,0
Entire home/apt,2.0,2.0,153.0,f,20,3,4.85,4.9,0
Entire home/apt,1.0,1.0,165.0,f,1,0,4.67,4.98,0
Entire home/apt,1.0,1.0,81.0,t,2,0,5.0,5.0,0
Entire home/apt,2.0,1.0,151.0,f,2,0,5.0,5.0,0
Private room,1.0,1.0,57.0,f,12,13,4.43,4.86,8
Private room,1.0,1.0,82.0,f,2,0,4.81,4.45,2
Entire home/apt,1.0,1.0,90.0,f,1,0,5.0,5.0,0
Private room,1.0,2.0,197.0,t,4,12,4.9,4.98,3
Entire home/apt,2.0,1.0,139.0,t,1,0,4.89,4.83,0
Private room,1.0,1.0,140.0,t,4,29,4.94,4.97,3
Entire home/apt,1.0,1.0,190.0,t,3,15,4.98,4.97,0
Entire home/apt,1.0,1.0,480.0,f,1,0,5.0,5.0,0
Private room,1.0,1.0,65.0,f,1,0,5.0,5.0,1
Private room,1.0,1.0,116.0,t,4,24,4.91,4.94,3
Private room,1.0,1.0,134.0,t,1,0,4.92,4.63,1
Entire home/apt,2.0,1.0,186.0,t,2,4,4.98,5.0,1
Entire home/apt,2.0,2.0,305.0,t,3,4,4.88,5.0,0
Entire home/apt,1.0,1.0,177.0,t,3,1,4.95,4.94,0
Entire home/apt,0.0,1.0,145.0,t,1,30,4.72,4.67,0
Entire home/apt,2.0,1.5,274.0,f,1,17,5.0,5.0,0
Private room,1.0,1.0,63.0,f,8,30,4.8,4.9,7
Entire home/apt,1.0,1.0,162.0,t,1,1,4.92,4.96,0
Entire home/apt,0.0,1.0,169.0,t,2,0,4.91,4.88,0
Entire home/apt,2.0,1.0,119.0,f,43,0,4.5,5.0,0
Private room,1.0,1.0,65.0,t,5,10,4.94,4.64,2
Entire home/apt,1.0,1.0,187.0,t,1,2,4.98,4.99,0
Entire home/apt,1.0,1.0,160.0,t,1,6,4.94,4.9,0
Private room,1.0,1.0,65.0,t,5,8,4.9,4.62,2
Entire home/apt,0.0,1.0,60.0,f,252,0,4.69,4.94,0
Private room,3.0,1.0,87.0,t,3,12,4.97,4.97,2
Private room,1.0,1.0,100.0,f,1,18,5.0,5.0,1
Entire home/apt,0.0,1.0,91.0,f,43,0,4.5,5.0,0
Private room,1.0,1.0,97.0,t,1,11,4.91,4.9,1
Private room,2.0,1.0,313.0,f,2,30,5.0,4.67,1
Entire home/apt,1.0,1.0,118.0,f,2,6,4.78,4.75,0
Entire home/apt,1.0,1.0,195.0,t,1,26,4.98,4.79,0
Private room,0.0,1.0,148.0,t,142,7,4.76,4.79,30
Entire home/apt,3.0,1.0,466.0,t,1,19,4.91,4.8,0
Entire home/apt,3.0,1.0,491.0,t,1,5,4.95,4.94,0
Entire home/apt,2.0,2.0,190.0,t,1,12,4.92,4.84,0
Private room,1.0,1.0,268.0,f,5,27,4.75,4.88,2
Private room,1.0,1.0,301.0,f,5,30,5.0,4.78,2
Entire home/apt,1.0,1.0,100.0,t,3,0,5.0,5.0,0
Entire home/apt,1.0,1.0,127.0,f,20,5,5.0,5.0,0
Entire home/apt,0.0,1.0,90.0,f,20,16,4.6,5.0,0
Private room,1.0,1.0,64.0,f,38,0,4.8,4.9,21
Private room,1.0,1.0,59.0,t,2,4,4.89,4.51,1
Private room,0.0,1.0,226.0,t,142,2,4.95,5.0,30
Private room,0.0,1.0,199.0,t,142,6,4.5,4.6,30
Entire home/apt,0.0,1.0,155.0,f,3,8,4.88,4.72,0
Entire home/apt,1.0,1.5,91.0,f,1,0,4.82,4.9,0
Private room,1.0,1.0,52.0,f,7,0,4.4,4.5,4
Entire home/apt,1.0,1.0,227.0,t,1,9,4.96,4.95,0
Private room,1.0,1.0,57.0,f,1,0,4.53,4.75,1
Entire home/apt,1.0,1.0,90.0,f,20,2,4.72,5.0,0
Entire home/apt,4.0,2.5,432.0,f,1,14,5.0,5.0,0
Entire home/apt,2.0,1.0,126.0,t,1,2,5.0,5.0,0
Entire home/apt,1.0,1.0,149.0,t,1,0,4.97,4.96,0
Entire home/apt,1.0,1.0,109.0,f,1,1,4.96,4.92,0
Entire home/apt,2.0,2.0,180.0,f,1,0,4.67,4.67,0
Entire home/apt,3.0,3.0,550.0,t,4,1,4.98,4.93,2
Entire home/apt,2.0,2.0,315.0,f,1,14,5.0,5.0,0
Entire home/apt,1.0,1.5,360.0,t,1,13,4.98,4.77,0
Private room,2.0,2.0,250.0,t,1,0,4.96,4.93,1
Entire home/apt,0.0,1.0,204.0,t,143,5,4.92,4.9,0
Entire home/apt,2.0,1.0,160.0,f,1,0,4.92,4.79,0
Private room,1.0,2.0,64.0,t,5,15,4.72,4.81,5
Entire home/apt,0.0,1.0,95.0,f,252,0,4.81,4.86,0
Private room,1.0,1.0,126.0,t,4,8,4.73,4.53,3
Entire home/apt,0.0,1.0,79.0,f,43,0,5.0,3.0,0
Entire home/apt,1.0,1.0,154.0,f,23,0,5.0,5.0,0
Entire home/apt,3.0,2.0,373.0,t,1,15,4.93,4.88,0
Entire home/apt,1.0,1.0,126.0,t,1,17,4.79,5.0,0
Entire home/apt,1.0,1.0,191.0,t,1,2,4.88,4.97,0
Entire home/apt,0.0,1.0,77.0,f,43,0,4.33,4.0,0
Entire home/apt,1.0,1.0,145.0,t,2,0,4.92,4.88,0
Entire home/apt,2.0,1.0,267.0,t,5,10,4.96,4.97,0
Entire home/apt,1.0,1.0,92.0,t,3,3,4.84,4.79,0
Entire home/apt,3.0,2.0,350.0,f,1,0,5.0,5.0,0
Entire home/apt,0.0,1.0,76.0,f,43,7,4.5,3.75,0
Entire home/apt,0.0,1.0,76.0,f,43,2,5.0,5.0,0
Entire home/apt,0.0,1.0,81.0,f,43,0,5.0,3.33,0
Entire home/apt,0.0,1.0,91.0,f,43,0,4.88,5.0,0
Entire home/apt,1.0,1.0,217.0,f,1,20,4.96,4.99,0
Entire home/apt,2.0,1.5,522.0,f,3,17,4.5,4.58,1
Entire home/apt,0.0,1.0,76.0,f,43,0,3.75,3.25,0
Entire home/apt,2.0,1.0,165.0,t,2,1,5.0,5.0,0
Entire home/apt,3.0,2.0,133.0,t,5,12,4.87,4.73,2
Entire home/apt,1.0,1.0,270.0,t,4,4,5.0,5.0,0
Entire home/apt,1.0,1.0,217.0,t,4,12,4.94,4.99,0
Entire home/apt,1.0,1.0,160.0,t,2,0,5.0,5.0,0
Entire home/apt,1.0,1.0,112.0,t,2,3,4.95,4.83,0
Entire home/apt,3.0,2.0,524.0,f,1,14,4.67,4.67,0
Entire home/apt,1.0,1.0,94.0,t,3,3,4.91,4.88,0
Entire home/apt,2.0,1.0,146.0,t,3,3,4.83,4.79,0
Private room,1.0,1.0,63.0,f,4,7,4.79,4.87,4
Private room,1.0,1.0,62.0,f,4,21,4.69,4.8,4
Private room,3.0,1.0,76.0,t,3,7,4.89,5.0,2
Private room,1.0,1.0,59.0,f,8,30,4.71,5.0,7
Private room,1.0,1.0,66.0,f,4,20,4.77,4.87,4
Entire home/apt,2.0,2.0,160.0,f,1,6,4.8,4.64,0
Entire home/apt,1.0,1.0,125.0,f,1,0,4.86,4.95,0
Entire home/apt,1.0,2.0,180.0,t,1,12,4.79,4.71,0
Private room,1.0,4.0,120.0,f,15,26,4.34,3.93,12
Entire home/apt,5.0,2.0,300.0,f,3,0,5.0,5.0,0
Private room,1.0,1.0,108.0,t,5,0,5.0,5.0,5
Entire home/apt,2.0,1.0,200.0,f,1,0,4.85,5.0,0
Private room,1.0,1.0,224.0,f,1,30,5.0,5.0,1
Private room,1.0,1.0,156.0,t,1,5,4.94,4.93,1
Entire home/apt,1.0,1.0,338.0,f,1,11,4.86,4.71,0
Entire home/apt,0.0,1.0,109.0,f,20,0,4.62,4.95,0
Entire home/apt,1.0,1.0,196.0,f,2,4,4.83,5.0,0
Entire home/apt,2.0,1.0,411.0,t,1,21,4.94,4.81,0
Entire home/apt,3.0,2.0,570.0,f,23,0,5.0,5.0,0
Entire home/apt,2.0,1.0,160.0,t,1,6,4.88,4.86,0
Entire home/apt,2.0,1.0,117.0,t,5,8,4.82,4.69,2
Entire home/apt,1.0,1.0,147.0,t,2,10,4.99,4.92,0
Private room,1.0,1.0,83.0,t,6,4,4.89,4.82,5
Entire home/apt,2.0,1.0,180.0,f,1,20,4.84,4.58,0
