room_type,bedrooms,bathrooms,price,host_is_superhost,host_listings_count,availability_30,review_scores_rating,review_scores_location,calculated_host_listings_count_private_rooms
Entire home/apt,1.0,1.0,126.0,t,1,21,4.74,4.82,0
Entire home/apt,1.0,1.0,120.0,f,2,0,4.94,4.94,0
Entire home/apt,4.0,2.5,590.0,f,3,14,4.97,4.88,0
Private room,1.0,4.0,55.0,t,20,30,4.36,4.91,20
Private room,1.0,1.0,85.0,f,1,14,4.83,4.8,1
Entire home/apt,3.0,3.0,550.0,f,2,11,5.0,5.0,0
Entire home/apt,1.0,1.0,140.0,t,2,0,4.83,4.74,0
Entire home/apt,4.0,2.0,1000.0,f,2,25,4.91,5.0,0
Entire home/apt,2.0,1.5,200.0,f,5,0,4.6,4.64,0
Entire home/apt,1.0,1.0,81.0,f,5,0,4.31,4.64,0
Entire home/apt,1.0,1.0,77.0,f,5,0,4.18,4.58,0
Entire home/apt,2.0,1.0,153.0,t,6,10,4.74,4.38,0
Entire home/apt,0.0,1.0,92.0,t,5,0,4.48,4.91,0
Entire home/apt,0.0,1.0,99.0,t,5,0,4.74,4.77,0
Entire home/apt,2.0,1.0,215.0,t,1,9,4.89,4.89,0
Private room,1.0,0.5,100.0,f,1,1,4.93,4.95,1
Entire home/apt,1.0,1.0,175.0,f,1,12,4.8,4.9,0
Entire home/apt,1.0,1.0,177.0,f,1,18,4.82,4.97,0
Private room,1.0,2.0,71.0,t,5,26,4.72,4.85,5
Private room,1.0,2.0,71.0,t,5,21,4.62,4.83,5
Private room,1.0,2.0,71.0,t,5,19,4.54,4.79,5
Private room,2.0,2.0,51.0,f,1,0,4.74,4.29,1
Private room,1.0,2.0,71.0,t,5,21,4.53,4.78,5
Entire home/apt,1.0,1.0,109.0,t,1,3,4.92,4.83,0
Entire home/apt,1.0,1.0,150.0,t,1,19,4.76,4.72,0
Entire home/apt,3.0,3.0,427.0,t,1,7,4.82,4.86,0
Entire home/apt,1.0,1.0,195.0,f,1,3,4.79,4.89,0
Private room,1.0,1.0,84.0,t,1,6,4.85,4.77,1
Entire home/apt,1.0,1.0,94.0,f,2,0,4.77,4.88,0
Entire home/apt,1.0,1.0,125.0,f,2,0,4.44,4.44,0
Entire home/apt,2.0,1.0,535.0,t,2,24,4.93,4.96,1
Entire home/apt,2.0,1.0,347.0,t,1,12,4.87,4.92,0
Entire home/apt,1.0,1.0,165.0,f,2,17,4.7,4.75,1
Entire home/apt,3.0,1.0,175.0,f,3,0,4.73,4.78,0
Private room,1.0,1.0,69.0,f,2,5,5.0,5.0,1
Private room,0.0,1.0,167.0,t,1,10,4.84,4.88,1
Private room,1.0,1.0,90.0,t,1,0,5.0,4.96,1
Entire home/apt,1.0,1.0,75.0,f,2,5,4.81,4.87,0
Private room,1.0,1.0,40.0,f,1,0,4.54,4.77,1
Entire home/apt,1.0,1.0,123.0,t,1,12,4.72,4.87,0
Entire home/apt,0.0,1.0,124.0,t,1,4,4.84,4.76,0
Entire home/apt,2.0,2.0,300.0,f,1,30,4.97,4.94,0
Entire home/apt,1.0,1.0,99.0,t,7,15,4.81,4.91,3
Entire home/apt,1.0,1.0,110.0,f,6,25,4.76,4.84,3
Private room,2.0,1.5,196.0,f,1,26,4.94,4.85,1
Private room,1.0,2.0,111.0,t,1,3,4.92,4.82,1
Private room,1.0,1.5,108.0,t,2,6,4.91,4.97,2
Private room,1.0,1.5,77.0,t,2,2,4.84,4.96,2
Entire home/apt,2.0,2.0,293.0,t,1,0,4.98,4.83,0
Entire home/apt,1.0,0.5,160.0,f,1,1,4.84,4.83,0
Entire home/apt,1.0,1.0,154.0,t,1,5,4.96,4.87,0
Entire home/apt,3.0,2.5,332.0,f,1,25,4.61,4.88,0
Private room,2.0,1.0,86.0,t,1,16,4.91,4.75,1
Entire home/apt,3.0,2.0,234.0,f,2,3,4.5,4.34,0
Entire home/apt,1.0,1.0,135.0,t,2,4,4.78,4.86,0
Entire home/apt,1.0,1.0,225.0,f,2,30,4.89,4.79,0
Entire home/apt,1.0,1.0,126.0,t,2,12,4.69,4.71,0
Entire home/apt,0.0,1.0,338.0,f,1,3,4.93,4.98,0
Entire home/apt,4.0,2.0,226.0,f,4,0,4.5,4.56,0
Entire home/apt,1.0,1.0,115.0,f,1,19,4.94,4.96,0
Private room,1.0,1.5,87.0,f,1,29,4.82,4.73,1
Entire home/apt,4.0,2.5,404.0,f,1,0,4.93,4.64,0
Entire home/apt,1.0,1.0,94.0,t,5,0,4.78,4.78,0
Entire home/apt,1.0,1.0,144.0,t,1,6,4.91,4.89,0
Entire home/apt,3.0,2.0,475.0,f,1,5,4.96,4.91,0
Private room,2.0,1.0,83.0,t,1,0,4.98,4.88,1
Private room,1.0,1.0,75.0,t,1,5,4.91,4.92,1
Entire home/apt,2.0,2.0,448.0,f,3,15,5.0,5.0,0
Entire home/apt,2.0,1.0,189.0,f,1,0,4.83,4.88,0
