bedrooms,bathrooms,price,host_listings_count,availability_30,review_scores_rating,review_scores_location,calculated_host_listings_count_private_rooms,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_is_superhost_t
1.0,1.0,99.0,7,15,4.81,4.91,3,False,False,False,True
1.0,1.0,110.0,6,25,4.76,4.84,3,False,False,False,False
2.0,1.5,196.0,1,26,4.94,4.85,1,False,True,False,False
1.0,2.0,111.0,1,3,4.92,4.82,1,False,True,False,True
1.0,1.5,108.0,2,6,4.91,4.97,2,False,True,False,True
1.0,1.5,77.0,2,2,4.84,4.96,2,False,True,False,True
2.0,2.0,293.0,1,0,4.98,4.83,0,False,False,False,True
1.0,0.5,160.0,1,1,4.84,4.83,0,False,False,False,False
1.0,1.0,154.0,1,5,4.96,4.87,0,False,False,False,True
3.0,2.5,332.0,1,25,4.61,4.88,0,False,False,False,False
2.0,1.0,86.0,1,16,4.91,4.75,1,False,True,False,True
3.0,2.0,234.0,2,3,4.5,4.34,0,False,False,False,False
1.0,1.0,135.0,2,4,4.78,4.86,0,False,False,False,True
1.0,1.0,225.0,2,30,4.89,4.79,0,False,False,False,False
1.0,1.0,126.0,2,12,4.69,4.71,0,False,False,False,True
0.0,1.0,338.0,1,3,4.93,4.98,0,False,False,False,False
4.0,2.0,226.0,4,0,4.5,4.56,0,False,False,False,False
1.0,1.0,115.0,1,19,4.94,4.96,0,False,False,False,False
1.0,1.5,87.0,1,29,4.82,4.73,1,False,True,False,False
4.0,2.5,404.0,1,0,4.93,4.64,0,False,False,False,False
1.0,1.0,94.0,5,0,4.78,4.78,0,False,False,False,True
1.0,1.0,144.0,1,6,4.91,4.89,0,False,False,False,True
3.0,2.0,475.0,1,5,4.96,4.91,0,False,False,False,False
2.0,1.0,83.0,1,0,4.98,4.88,1,False,True,False,True
1.0,1.0,75.0,1,5,4.91,4.92,1,False,True,False,True
2.0,2.0,448.0,3,15,5.0,5.0,0,False,False,False,False
2.0,1.0,189.0,1,0,4.83,4.88,0,False,False,False,False
2.0,1.0,248.0,3,0,4.82,4.85,0,False,False,False,True
1.0,1.0,70.0,6,0,4.63,4.75,3,False,True,False,False
1.0,1.5,115.0,1,26,4.92,4.93,1,False,True,False,True
3.0,2.5,465.0,2,2,4.91,4.84,0,False,False,False,True
1.0,1.0,123.0,2,3,4.75,4.39,0,False,False,False,True
1.0,1.0,135.0,7,0,5.0,4.85,0,False,False,False,False
1.0,1.0,99.0,1,0,5.0,4.8,0,False,False,False,False
1.0,1.0,184.0,1,13,4.83,4.84,0,False,False,False,False
1.0,1.0,79.0,1,4,4.82,4.79,1,False,True,False,True
1.0,1.0,95.0,1,2,4.97,4.64,1,False,True,False,True
2.0,1.5,216.0,1,14,4.8,4.86,0,False,False,False,False
1.0,1.0,78.0,2,18,4.74,4.84,1,False,True,False,True
1.0,1.0,157.0,1,3,4.94,4.88,0,False,False,False,True
2.0,2.0,443.0,1,4,4.89,4.86,0,False,False,False,True
1.0,1.0,69.0,4,5,4.84,4.92,0,False,False,False,True
1.0,1.0,175.0,1,4,4.77,4.83,0,False,False,False,True
1.0,1.0,159.0,2,15,4.72,4.89,0,False,False,False,False
1.0,1.0,159.0,1,8,4.92,4.96,0,False,False,False,True
2.0,1.0,238.0,2,12,4.87,4.88,0,False,False,False,False
1.0,1.0,220.0,1,0,4.85,4.84,0,False,False,False,False
2.0,1.0,252.0,1,0,4.95,4.9,0,False,False,False,True
2.0,1.0,340.0,1,13,4.69,4.97,0,False,False,False,True
3.0,1.0,282.0,3,11,4.8,4.55,1,False,False,False,True
1.0,1.0,185.0,1,0,4.97,4.91,0,False,False,False,True
1.0,1.0,161.0,2,4,4.88,5.0,0,False,False,False,True
